start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 2860 -135_0.211204|-120_0.211878|-105_0.21422|-90_0.217699|-75_0.212105|-60_0.208739|-45_0.207244|-30_0.206989|-15_0.205225|0_0.206457|15_0.207771|30_0.209058|45_0.210235|60_0.211241|75_0.212039|90_0.212605|105_0.212929|120_0.213003|135_0.212826|
[DEBUG] 4114 -135_0.236966|-120_0.23804|-105_0.2391|-90_0.238954|-75_0.238002|-60_0.237204|-45_0.236743|-30_0.236615|-15_0.228192|0_0.228573|15_0.228893|30_0.229142|45_0.229312|60_0.2294|75_0.229404|90_0.229324|105_0.229163|120_0.228922|135_0.228608|
[DEBUG] 4115 -135_0.236966|-120_0.23804|-105_0.2391|-90_0.238954|-75_0.238002|-60_0.237204|-45_0.236743|-30_0.236615|-15_0.228192|0_0.228573|15_0.228893|30_0.229142|45_0.229312|60_0.2294|75_0.229404|90_0.229324|105_0.229163|120_0.228922|135_0.228608|
[DEBUG] 4116 -135_0.236966|-120_0.23804|-105_0.2391|-90_0.238954|-75_0.238002|-60_0.237204|-45_0.236743|-30_0.236615|-15_0.228192|0_0.228573|15_0.228893|30_0.229142|45_0.229312|60_0.2294|75_0.229404|90_0.229324|105_0.229163|120_0.228922|135_0.228608|
[DEBUG] 4117 -135_0.237131|-120_0.237699|-105_0.237785|-90_0.237328|-75_0.236769|-60_0.236393|-45_0.236284|-30_0.227826|-15_0.228244|0_0.228615|15_0.228923|30_0.229157|45_0.229311|60_0.229382|75_0.229369|90_0.229273|105_0.229094|120_0.228836|135_0.228507|
[DEBUG] 4118 -135_0.237131|-120_0.237699|-105_0.237785|-90_0.237328|-75_0.236769|-60_0.236393|-45_0.236284|-30_0.227826|-15_0.228244|0_0.228615|15_0.228923|30_0.229157|45_0.229311|60_0.229382|75_0.229369|90_0.229273|105_0.229094|120_0.228836|135_0.228507|
[DEBUG] 4119 -135_0.237131|-120_0.237699|-105_0.237785|-90_0.237328|-75_0.236769|-60_0.236393|-45_0.236284|-30_0.227826|-15_0.228244|0_0.228615|15_0.228923|30_0.229157|45_0.229311|60_0.229382|75_0.229369|90_0.229273|105_0.229094|120_0.228836|135_0.228507|
[DEBUG] 4120 -135_0.236142|-120_0.236446|-105_0.236565|-90_0.236426|-75_0.236169|-60_0.23598|-45_0.235958|-30_0.236132|-15_0.228178|0_0.228559|15_0.228879|30_0.229127|45_0.229296|60_0.229382|75_0.229385|90_0.229304|105_0.22914|120_0.228897|135_0.228581|
[DEBUG] 4121 -135_0.236142|-120_0.236446|-105_0.236565|-90_0.236426|-75_0.236169|-60_0.23598|-45_0.235958|-30_0.236132|-15_0.228178|0_0.228559|15_0.228879|30_0.229127|45_0.229296|60_0.229382|75_0.229385|90_0.229304|105_0.22914|120_0.228897|135_0.228581|
[DEBUG] 4122 -135_0.236142|-120_0.236446|-105_0.236565|-90_0.236426|-75_0.236169|-60_0.23598|-45_0.235958|-30_0.236132|-15_0.228178|0_0.228559|15_0.228879|30_0.229127|45_0.229296|60_0.229382|75_0.229385|90_0.229304|105_0.22914|120_0.228897|135_0.228581|
[DEBUG] 4123 -135_0.236135|-120_0.236385|-105_0.236486|-90_0.23639|-75_0.236212|-60_0.236099|-45_0.236135|-30_0.236344|-15_0.228244|0_0.228615|15_0.228924|30_0.229159|45_0.229314|60_0.229387|75_0.229375|90_0.22928|105_0.229103|120_0.228847|135_0.228519|
[DEBUG] 4124 -135_0.236135|-120_0.236385|-105_0.236486|-90_0.23639|-75_0.236212|-60_0.236099|-45_0.236135|-30_0.236344|-15_0.228244|0_0.228615|15_0.228924|30_0.229159|45_0.229314|60_0.229387|75_0.229375|90_0.22928|105_0.229103|120_0.228847|135_0.228519|
[DEBUG] 4125 -135_0.236135|-120_0.236385|-105_0.236486|-90_0.23639|-75_0.236212|-60_0.236099|-45_0.236135|-30_0.236344|-15_0.228244|0_0.228615|15_0.228924|30_0.229159|45_0.229314|60_0.229387|75_0.229375|90_0.22928|105_0.229103|120_0.228847|135_0.228519|
[DEBUG] 4126 -135_0.236161|-120_0.236359|-105_0.236467|-90_0.236428|-75_0.236317|-60_0.236251|-45_0.23631|-30_0.236522|-15_0.228182|0_0.228562|15_0.22888|30_0.229125|45_0.229292|60_0.229375|75_0.229375|90_0.229291|105_0.229124|120_0.228878|135_0.228559|
