start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4336 -135_0.232194|-120_0.23217|-105_0.241321|-90_0.241511|-75_0.24181|-60_0.242153|-45_0.242439|-30_0.242557|-15_0.242453|0_0.242178|15_0.241842|30_0.241546|45_0.241353|60_0.232194|75_0.23221|90_0.232224|105_0.232236|120_0.232246|135_0.232253|
[DEBUG] 4360 -135_0.232442|-120_0.236012|-105_0.237116|-90_0.238955|-75_0.241569|-60_0.242845|-45_0.240484|-30_0.238137|-15_0.236621|0_0.235746|15_0.232458|30_0.232456|45_0.232453|60_0.23245|75_0.232448|90_0.232448|105_0.232449|120_0.232452|135_0.232454|
[DEBUG] 4361 -135_0.232442|-120_0.236012|-105_0.237116|-90_0.238955|-75_0.241569|-60_0.242845|-45_0.240484|-30_0.238137|-15_0.236621|0_0.235746|15_0.232458|30_0.232456|45_0.232453|60_0.23245|75_0.232448|90_0.232448|105_0.232449|120_0.232452|135_0.232454|
[DEBUG] 4362 -135_0.232442|-120_0.236012|-105_0.237116|-90_0.238955|-75_0.241569|-60_0.242845|-45_0.240484|-30_0.238137|-15_0.236621|0_0.235746|15_0.232458|30_0.232456|45_0.232453|60_0.23245|75_0.232448|90_0.232448|105_0.232449|120_0.232452|135_0.232454|
[DEBUG] 4363 -135_0.2326|-120_0.235892|-105_0.237005|-90_0.238772|-75_0.240903|-60_0.241245|-45_0.239238|-30_0.237322|-15_0.236072|0_0.232582|15_0.232574|30_0.232565|45_0.232558|60_0.232552|75_0.232549|90_0.232549|105_0.232552|120_0.232558|135_0.232565|
[DEBUG] 4364 -135_0.2326|-120_0.235892|-105_0.237005|-90_0.238772|-75_0.240903|-60_0.241245|-45_0.239238|-30_0.237322|-15_0.236072|0_0.232582|15_0.232574|30_0.232565|45_0.232558|60_0.232552|75_0.232549|90_0.232549|105_0.232552|120_0.232558|135_0.232565|
[DEBUG] 4365 -135_0.2326|-120_0.235892|-105_0.237005|-90_0.238772|-75_0.240903|-60_0.241245|-45_0.239238|-30_0.237322|-15_0.236072|0_0.232582|15_0.232574|30_0.232565|45_0.232558|60_0.232552|75_0.232549|90_0.232549|105_0.232552|120_0.232558|135_0.232565|
[DEBUG] 4366 -135_0.235856|-120_0.237005|-105_0.238865|-90_0.241164|-75_0.241416|-60_0.239177|-45_0.237195|-30_0.235946|-15_0.232659|0_0.232646|15_0.232633|30_0.232622|45_0.232614|60_0.23261|75_0.23261|90_0.232614|105_0.232622|120_0.232632|135_0.232643|
[DEBUG] 4367 -135_0.235856|-120_0.237005|-105_0.238865|-90_0.241164|-75_0.241416|-60_0.239177|-45_0.237195|-30_0.235946|-15_0.232659|0_0.232646|15_0.232633|30_0.232622|45_0.232614|60_0.23261|75_0.23261|90_0.232614|105_0.232622|120_0.232632|135_0.232643|
[DEBUG] 4368 -135_0.235856|-120_0.237005|-105_0.238865|-90_0.241164|-75_0.241416|-60_0.239177|-45_0.237195|-30_0.235946|-15_0.232659|0_0.232646|15_0.232633|30_0.232622|45_0.232614|60_0.23261|75_0.23261|90_0.232614|105_0.232622|120_0.232632|135_0.232643|
[DEBUG] 4525 -135_0.233375|-120_0.233427|-105_0.23342|-90_0.233369|-75_0.2333|-60_0.233229|-45_0.233161|-30_0.233099|-15_0.233045|0_0.232999|15_0.232961|30_0.232933|45_0.232912|60_0.2329|75_0.232895|90_0.232896|105_0.232905|120_0.232923|135_0.232951|
[DEBUG] 4526 -135_0.233375|-120_0.233427|-105_0.23342|-90_0.233369|-75_0.2333|-60_0.233229|-45_0.233161|-30_0.233099|-15_0.233045|0_0.232999|15_0.232961|30_0.232933|45_0.232912|60_0.2329|75_0.232895|90_0.232896|105_0.232905|120_0.232923|135_0.232951|
[DEBUG] 4527 -135_0.233375|-120_0.233427|-105_0.23342|-90_0.233369|-75_0.2333|-60_0.233229|-45_0.233161|-30_0.233099|-15_0.233045|0_0.232999|15_0.232961|30_0.232933|45_0.232912|60_0.2329|75_0.232895|90_0.232896|105_0.232905|120_0.232923|135_0.232951|
[DEBUG] 4528 -135_0.233491|-120_0.233554|-105_0.233552|-90_0.233496|-75_0.23342|-60_0.233341|-45_0.233267|-30_0.2332|-15_0.233141|0_0.233092|15_0.233052|30_0.233022|45_0.233|60_0.232986|75_0.23298|90_0.232981|105_0.23299|120_0.233008|135_0.233037|
